	faith_pd
MN10Mar2	30.79467022204301
MN10Mar4	38.40917518592619
MN10Mar5	15.746780345377942
MN10Mar6	17.216148530018813
MN10Mar7	23.039674615867625
MN10Mar8	28.552692012998136
MN10Mar9	22.71814755291291
MN1Mar10	21.48481569536284
MN1Mar11	18.90116311229383
MN1Mar12	29.23394861399936
MN1Mar13	22.6389944894388
MN1Mar14	28.287497192750834
MN1Mar15	30.50811213374277
MN1Mar16	23.295216694292094
MN1Mar2	15.942866295082126
MN1Mar3	23.792019823111673
MN1Mar4	30.303070043701496
MN1Mar5	15.598662725281201
MN1Mar6	18.37967795746522
MN1Mar7	17.808911538550774
MN1Mar8	31.68721698642628
MN1Mar9	28.37291325547153
MN28Feb2	16.897980591859323
MN28Feb3	29.804470485193406
MN28Feb4	29.999761523188795
MN28Feb5	26.366038811089197
MN28Feb6	17.5768258093359
MN28Feb7	28.580023177717408
MN3Mar2	14.636043338929312
MN3Mar3	24.051874870184292
MN3Mar7	23.700309178154953
MN3Mar8	28.232883746775883
MN8Mar1	15.032024629926696
MN8Mar2	33.789854870880504
MN8Mar3	27.931422993143656
MN8Mar4	31.462685020859567
MN8Mar5	23.501421353826913
MN8Mar6	20.254602054539305
MN8Mar7	24.44634141144047
MN8Mar8	19.533443607311597
MN9Mar1	16.222488221143294
MN9Mar2	22.824351119300786
MN9Mar3	26.43406832734763
MN9Mar4	27.515838753332446
MN9Mar5	21.36989240051787
MN9Mar6	21.48078659489954
MN9Mar7	21.459284033411905
MN9Mar8	35.46992219363119
