#SampleID	SubjectID	Distance	Group
MN1Mar8	Sigurd	0.2841972488792677	no
MN1Mar4	Sitka	0.3474525712922086	no
MN28Feb4	Foxy	0.26872006409054494	no
MN1Mar15	Lena	0.3721172038795234	no
MN28Feb2	Mukwah	0.4146112806177238	no
MN1Mar5	Finn	0.29294151737774216	no
MN3Mar7	Osa	0.2840779313753899	no
MN28Feb7	Wing	0.2795097755126391	no
MN1Mar14	Susi	0.34256055363321797	no
MN1Mar9	Kylla	0.22511803910205055	no
MN3Mar3	Monk	0.3569638808870404	no
MN28Feb5	Willow	0.37510014147646886	no
MN1Mar13	Amaroq	0.3485093834694121	no
MN1Mar6	Suen	0.5079687047232686	no
MN28Feb3	Nikolai	0.4077249561082039	no
MN1Mar12	Tulugak	0.3498218760120681	no
MN1Mar11	Toklat	0.49671876864335995	no
MN1Mar3	Mooz	0.44416793086402917	no
MN1Mar10	Kesha	0.6885301788058023	yes
MN3Mar2	Sami	0.7535582184192136	yes
MN1Mar7	Newton	0.4764007022687371	yes
MN28Feb6	Akiak	0.21158402509076654	yes
MN1Mar2	Ukho	0.20740791245504286	yes
MN1Mar16	Lemmikki	0.5296844904290317	yes
